Group,Character,Label,Help,HelpShort,Status,ValueType,ControlType,Params,Weight,Latitude,,,,,,,,,,,,,,,
Taxonomy,Taxon,Taxon,,,,,,,,,,,,,,,,,,,,,,,
General,GrowthForm,Growth Form,"Most grass species classified as bunchgrasses do not produce well developed rhizomes or stolons. Bunchgrasses do not have stolons or rhizomes and instead develop dense clusters of tillers. Examples include Little Bluestem, Needleandthread and Prairie Junegrass. Bunchgrasses repopulate primarily by tillering. New tillers develop in close proximity to current-year and previous-year tillers because buds primarily are located in the crown at the lower most nodes of parent tillers. Multiple generations of buds often are discernible in bunchgrasses. Density, size and orientation of buds differ among species. Sod-forming grasses have stolons or rhizomes. Rhizomes are underground stems that produce roots at nodes. Stolons are above-ground horizontal stems that root at the tip or at nodes. Growth rate: Stolons grow quickly, while rhizomes grow more slowly.",Rhizomes are underground stems that produce roots at nodes. Stolons are above-ground horizontal stems that root at the tip or at nodes. ,key,text,multi,,10,0,,,,,,,,,,,,,,,
General,PlantHeight,Plant Height,In inches. Only use on plants that are fully formed and not clearly cut/grazed. ,,key,numeric,spin,"0,84,1",7,14,,,,,,,,,,,,,,,
General,BlueGrayTint,Blue or Gray-tinted leaves?,Leave blank if not applicable. Grey could also be Silver. ,,key,text,single,,8,0,,,,,,,,,,,,,,,
General,PromWhiteMidrib,Prominent white midrib on upper leaf blade?,"Some C4 grasses have a prominent white midrib on the upper leaf surface. Don't have data on all, but have some that are definite Yes and definite no's, so if Y is selected the ""No's"" will get a neg. score value. All others no impact.",,key,text,single,,10,0,,,,,,,,,,,,,,,
General,FuzzyMonster,"Is this grass a ""fuzzy monster""?",HAS HAIRS ALL OVER!,,key,text,single,,9,0,,,,,,,,,,,,,,,
General,LeafDistinctive,Heart-shaped leaf or boat-tipped leaf tip?,"Heart shaped (loosely... deertongue, etc.) or boat tip (Poa)",,key,text,single,,9,0,,,,,,,,,,,,,,,
Structure,BudShoot,Bud-shoot,"The arrangement of leaves in the growing point or bud-shoot may be folded or rolled. The folded arrangement is usually found in flattened shoots and the rolled arrangement in round or cylindrical shoots. The arrangement of the leaves in bud-shoot may be determined by cutting the shoot across the ligule of the uppermost leaf and examining the section with a magnifier. However, in some grasses, the leaves are rolled in flattened shoots and in others, folded leaves are in round shoots. Very difficult to determine in grasses with narrow leaves (2 to 4 mm; like fine fescues, bluestems, bents). The use of this character as a point of separaration for such grasses should therefore be avoided if possible.","The bud-shoot can be either folded or rolled.  In grasses with leaves less than 4 mm wide, should be avoided as a point of separation since it is hard to tell.",key,text,single,,7,0,,,,,,,,,,,,,,,
Sheath,SheathMargins,Sheath Margins,"The sheath is the tubular basal portion of the leaf surrounding the stem or the young growing leaves. The sheath is generally split to the base or node and the margins are overlapping as illustrated below. Some grasses, notably the bromegrass and cheats (Bromus spp.), are closed to near the top. This character needs careful examination for in some cases a closed sheath is easily split by rough handling. Most grasses have margins that are thin and hyaline or paper-like while in some, one or both margins may be distinctly hairy. Split is essentially ""open""",,key,text,single,,8,0,,,,,,,,,,,,,,,
Structure,Auricles,Auricles,"Auricles are claw-like appendages which project from the collar, one from each side. When present they may be large and conspicious, as in barley, or small and slender as in the ryegrasses and quackgrass. The auricles of wheat and tall fescue generally are more or less hairy. Clasping here also includes large.",,key,ordinal,single,,10,1,,,,,,,,,,,,,,,
